patient_id,national_id,first_name,last_name,date_of_birth,gender,phone,address,blood_type,allergies,chronic_diseases,emergency_contact_name,emergency_contact_phone,registration_date,is_active
1,24907095327210,Ramy,El-Alawy,1949-07-09,Male,0154164106,"855 El Orouba Sq., Zagazig, Asyut",A+,Aspirin allergy,Hypertension,Yara Saad,0110225853,2024-04-02 10:10:24,0
2,24601261289996,Adham,Gad,1946-01-26,Male,0106196105,"710 El Nasr St., Madinaty, Cairo",A+,Penicillin allergy,,Khaled Hegazy,0101220469,2024-12-01 15:38:52,1
3,26401053448004,Habiba,Nassar,1964-01-05,Female,0127045873,"895 El Wahda Rd., Gamasa, Minya",AB-,,Thyroid disorders,Donia Ramadan,0150686897,2025-01-04 14:00:24,1
4,29106128318507,Malak,El-Saeedi,1991-06-12,Female,0126580217,"425 El Orouba Ave., Shubra El Kheima, Damietta",O+,Penicillin allergy,,Nora Hassanin,0125861769,2025-07-24 01:53:26,0
5,26810298137215,Malek,El-Alawy,1968-10-29,Male,0110391505,"68804 El Galaa St., Itay El Barud, Beheira",AB+,Latex allergy,,George Nassar,0117387228,2024-11-06 11:13:50,0
6,27109206004502,Nora,Zayed,1971-09-20,Female,0157002730,"5466 El Tahrir Sq., Mansoura, Dakahlia",AB+,Pollen allergy,,Fatma El-Hashemy,0100191851,2024-01-30 14:37:20,1
7,27506090281496,Hussein,Gad,1975-06-09,Male,0100861860,"4708 El Zohour St., Sayeda Zeinab, Asyut",AB-,Peanut allergy,Arthritis,Raed Shawky,0125650261,2025-06-06 16:22:59,1
8,30502218299226,Fatma El-Zahraa,Helmy,2005-02-21,Female,0102531086,"424 El Geish Sq., Marsa Alam, Red Sea",B-,,Diabetes mellitus,Raed Abo El-Naga,0156528581,2025-03-30 06:04:29,1
9,25704223879475,Aws,Shehata,1957-04-22,Male,0119660270,"7746 El Galaa St., Boulaq El Dakrour, Asyut",B+,,Thyroid disorders,Sarah El-Sherbiny,0110285888,2024-03-12 21:56:31,1
10,26905038646156,Ayman,Wahba,1969-05-03,Male,0108185395,"48335 El Orouba Ave., Ain Shams, Damietta",B+,Dust allergy,Viral hepatitis,George Mokhtar,0124608138,2024-04-30 04:05:20,0
11,29707196524925,Doaa,Kamel,1997-07-19,Female,0120349319,"1588 El Galaa St., Damanhour, Beheira",B-,Antibiotic allergy,Heart disease,Tarek Kamel,0112827760,2024-06-13 17:12:54,0
12,29407127155028,Doaa,Saad,1994-07-12,Female,0119756382,"099 El Wahda Lane, Al Arab District, North Sinai",A+,Peanut allergy,,Shaimaa Mohsen,0117591057,2024-09-03 06:21:29,0
13,29106247762375,Adham,Hegazy,1991-06-24,Male,0106553753,"60668 Airport Lane, Hurghada, Red Sea",AB-,,,Yasmine Amin,0114286514,2024-03-01 05:29:17,1
14,30710052584026,Layan,Zayed,2007-10-05,Female,0104895060,"641 El Zohour Ave., Taba, South Sinai",AB+,Aspirin allergy,,Naglaa El-Iskandarany,0127953747,2025-02-06 07:52:46,0
15,28411067832906,Malak,Ghamrawy,1984-11-06,Female,0105378945,"21067 El Shohada St., Al Qarin, Sohag",O-,,,Iman Shehata,0152780782,2024-08-06 07:16:06,1
16,30503114525468,Habiba,Hassanin,2005-03-11,Female,0125390789,"9056 El Horreya St., Tanta, Gharbia",A+,Pollen allergy,,Janna El-Sherif,0153144265,2024-10-22 07:17:14,0
17,24811284289143,Salma,El-Qurashi,1948-11-28,Female,0109072304,"283 Salah Salem Sq., Hurghada, Beni Suef",A+,Dust allergy,,Soha Salama,0104773481,2024-02-15 09:27:38,1
18,27601314643509,Mona,El-Khouly,1976-01-31,Female,0109884381,"667 El Horreya Rd., Sidi Bishr, Faiyum",A+,Peanut allergy,Viral hepatitis,Raed El-Sherbiny,0111096685,2024-03-25 17:04:53,1
19,27907106022948,Alaa,Metwally,1979-07-10,Female,0102333033,"60065 Salah Salem Ave., Al Zohour District, Port Said",AB+,Seafood allergy,Viral hepatitis,Yassin Mohsen,0158003642,2024-07-20 11:33:51,1
20,25308175677978,Mostafa,Hassanin,1953-08-17,Male,0124538052,"3638 El Geish Rd., Attaka, Suez",B-,Seafood allergy,,Aws Abdelhamid,0106683617,2025-10-01 18:03:18,1
21,24811088432990,Mohamed,El-Khouly,1948-11-08,Male,0104271217,"8907 El Shohada Rd., Abu Kabir, Sharqia",AB+,Penicillin allergy,Chronic kidney disease,Dina El-Shennawy,0108545360,2024-02-17 08:02:41,1
22,28007245422796,Fathy,Abdelfattah,1980-07-24,Male,0151951362,"2720 El Zohour St., Quweisna, Asyut",O-,,Chronic kidney disease,Medhat Mokhtar,0102150123,2024-11-16 15:33:05,0
23,27503264656590,Fathy,Zaker,1975-03-26,Male,0153600217,"120 El Shohada Sq., Rashid, Minya",B-,Pollen allergy,,Tamer El-Ghazaly,0105733365,2025-05-01 20:25:20,1
24,25509092798272,Mohanad,Sarhan,1955-09-09,Male,0151045653,"08113 El Geish St., Attaka, Suez",B+,Penicillin allergy,Asthma,Ibrahim El-Qurashi,0114328098,2024-06-18 16:43:18,1
25,27408068541400,Saga,Abdelaziz,1974-08-06,Female,0118552609,"5505 El Gomhouria Rd., Al Zohour District, Port Said",A+,Dust allergy,Arthritis,Abdelrahman Abdullah,0118041629,2024-08-06 03:30:40,1
26,27603211269104,Zeinab,El-Qurashi,1976-03-21,Female,0121983613,"56748 Airport Rd., Shebin El Kom, Aswan",A+,,Viral hepatitis,Ali Abdullah,0128260402,2025-07-25 03:15:55,0
27,25901250180398,Shenouda,Hegazy,1959-01-25,Male,0125212914,"15045 Airport Rd., Qantara Sharq, Ismailia",O+,,Epilepsy,Abeer Ali,0102461948,2025-08-03 16:56:38,1
28,28308211138739,Adel,Hussein,1983-08-21,Male,0121815447,"01191 Salah Salem Ave., Ashmoun, Beni Suef",B-,Pollen allergy,,Tarek Abdelhamid,0127652260,2024-10-14 20:00:48,1
29,26003237155726,Rasha,Shehata,1960-03-23,Female,0103062128,"6264 El Horreya Rd., Benha, Qalyubia",AB-,Aspirin allergy,Diabetes mellitus,Seif Mansour,0101019649,2024-01-07 19:35:13,1
30,28905194705855,Adham,El-Iskandarany,1989-05-19,Male,0118344985,"24436 El Gomhouria Ave., Toukh, Qalyubia",AB+,Antibiotic allergy,,Mazen Ramadan,0103706122,2025-04-27 13:39:21,1
31,24903068288747,Layan,El-Omda,1949-03-06,Female,0118317936,"685 El Mahatta Ave., Maadi, Cairo",A-,Latex allergy,,Talin Metwally,0121317084,2025-05-24 22:27:02,0
32,24801315421430,Samy,El-Masry,1948-01-31,Male,0153028106,"796 El Horreya Ave., Suez District, Suez",AB+,Pollen allergy,Hypertension,Talin Mahmoud,0105266110,2024-05-12 23:32:37,0
33,25604255127290,Marwan,Hassanin,1956-04-25,Male,0112945864,"6288 Salah Salem Ave., Qantara Gharb, Kafr El Sheikh",AB-,,,Fares Hussein,0118109928,2025-07-08 15:55:00,1
34,28607275506732,Haitham,El-Saeedi,1986-07-27,Male,0109173870,"4754 El Gomhouria Lane, Sadat City, Asyut",B-,Pollen allergy,Epilepsy,Gehad Ramadan,0128995320,2024-09-13 09:40:57,0
35,24907100696194,Hussein,Wahba,1949-07-10,Male,0109175621,"913 El Haram Rd., Gamasa, Dakahlia",A-,,,Layan Mokhtar,0159628178,2025-07-06 09:09:09,1
36,26109228367366,Zeinab,Osman,1961-09-22,Female,0108755964,"7231 El Salam Rd., Smouha, Alexandria",B+,,,Naglaa El-Shennawy,0150825022,2025-08-15 05:08:28,1
37,29002152454688,Hoda,El-Sakka,1990-02-15,Female,0102628382,"8072 El Galaa Ave., Zamalek, Cairo",A-,Latex allergy,,Yassin El-Omda,0154587316,2025-06-29 01:33:42,0
38,30309166038248,Rasha,El-Omda,2003-09-16,Female,0127650661,"7701 El Haram Sq., Mit Ghamr, Dakahlia",A+,,Diabetes mellitus,Layan Farag,0150555388,2024-12-01 00:23:12,0
39,29508071023796,Mazen,Fahmy,1995-08-07,Male,0119530227,"76052 El Mahatta Lane, Sidi Bishr, Minya",B-,,,Shaimaa Ali,0154584153,2025-08-05 17:42:07,1
40,24902232324000,Donia,Nassar,1949-02-23,Female,0111828097,"667 El Geish Rd., Shebin El Kom, Monufia",B+,,,Sidra El-Omda,0111325356,2025-06-21 17:52:37,0
41,27903096568417,Mohanad,Afifi,1979-03-09,Male,0111615861,"41152 El Galaa Lane, Qalyub, Qalyubia",B-,Penicillin allergy,Thyroid disorders,Nariman Ali,0103116767,2025-06-04 06:50:54,1
42,24809144245460,Rana,El-Alawy,1948-09-14,Female,0106014866,"555 Airport Sq., Manshat El Qanater, Giza",AB-,Seafood allergy,,Janna Ghoneim,0121592107,2024-09-26 13:30:16,0
43,27912278445937,Yasser,El-Sherif,1979-12-27,Male,0155034542,"9753 Airport Rd., Kom Hamada, Luxor",AB+,Dust allergy,Viral hepatitis,Donia El-Iskandarany,0128097235,2024-06-01 04:33:04,0
44,29308101752919,Ali,Shawky,1993-08-10,Male,0157834237,"5777 El Zohour Lane, Senbellawein, Minya",A-,Seafood allergy,Hypertension,Soha Saad,0154641671,2025-10-31 06:58:23,1
45,30504074652171,Saeed,El-Iskandarany,2005-04-07,Male,0119569998,"30268 El Mahatta Sq., Benha, Qalyubia",B+,Seafood allergy,Diabetes mellitus,Salem Ghamrawy,0157949342,2025-11-01 20:33:36,1
46,28105125405204,Gehad,El-Saeedi,1981-05-12,Female,0153619681,"7225 Airport Sq., Rashid, Beheira",A-,Dust allergy,Epilepsy,Ali El-Qahery,0159224622,2024-11-13 23:44:43,1
47,26403172782345,Maryam,Ghamrawy,1964-03-17,Female,0129393439,"043 Salah Salem Lane, Faisal District, Suez",AB-,Seafood allergy,Viral hepatitis,Selim Nassar,0119702259,2025-04-27 08:44:57,0
48,30007026157124,Iman,Salama,2000-07-02,Female,0112501305,"12762 El Wahda Sq., Senbellawein, Dakahlia",O-,,Arthritis,Layan Kamel,0151880931,2024-10-14 03:03:34,1
49,30608026010095,Adel,Mohsen,2006-08-02,Male,0152342729,"6097 Salah Salem Ave., Fayed, Sohag",B+,Seafood allergy,,Youssef Salama,0154669292,2024-04-24 16:30:37,1
