doctor_id,national_id,first_name,last_name,specialization,license_number,phone,years_of_experience,consultation_fee,is_active,registration_date
1,28607145081309,Farida,Nassar,Pulmonology,MOH-PUL-227759,0127660981,15,790.61,0,2023-09-06 17:46:22
2,28903226004352,Adel,Zayed,Orthopedics,MOH-ORT-299341,0111177042,11,373.32,1,2021-12-24 19:10:00
3,26811206903444,Noha,Helmy,Emergency Medicine,MOH-EME-538789,0112689898,22,658.52,0,2024-12-19 21:59:01
4,27901278865255,Tamer,El-Araby,Internal Medicine,MOH-INT-428884,0121980546,5,590.9,1,2022-08-11 08:14:58
5,28001247260570,Gamal,Ramadan,Clinical Nutrition,MOH-CLI-353544,0152372550,17,184.91,0,2023-07-28 23:18:13
6,27604058065982,Rasha,Ali,Obesity Management,MOH-OBE-899642,0122961678,22,647.19,0,2024-11-01 23:17:10
7,29809207530778,Yasser,Ali,Emergency Medicine,MOH-EME-949588,0110737812,0,131.35,0,2023-01-07 09:48:07
8,28810142268435,Ramy,Saad,Urology,MOH-URO-230201,0103498285,7,370.16,1,2022-02-06 10:26:59
9,29402190775116,Fares,El-Iskandarany,Ophthalmology,MOH-OPH-812410,0152249478,1,620.27,0,2022-05-19 02:09:54
10,25608040121658,Abdelaziz,Metwally,ENT (Otolaryngology),MOH-ENT-856482,0150004423,1,502.54,1,2023-10-16 01:06:24
11,27907263289989,Hoda,El-Alawy,Obesity Management,MOH-OBE-397237,0101176343,17,649.71,1,2023-07-04 02:31:09
12,26103016339473,Youssef,El-Iskandarany,ENT (Otolaryngology),MOH-ENT-575650,0120166610,1,437.97,1,2021-04-30 10:48:01
13,29307086338291,Omar,El-Shennawy,Endocrinology,MOH-END-778372,0120358260,1,146.38,0,2025-10-18 03:22:29
14,29304215433472,Fares,Shalaby,Cardiology,MOH-CAR-387539,0114741389,0,709.12,0,2025-06-22 22:38:55
15,27503297311800,Dina,Abdelfattah,Clinical Nutrition,MOH-CLI-151374,0110897199,15,783.23,0,2022-04-21 16:11:28
16,26101098359271,Tarek,Abdelhamid,Dentistry,MOH-DEN-795434,0157663274,39,219.03,0,2021-02-28 02:07:41
17,28810210971105,Nour,Abdelaziz,Psychiatry,MOH-PSY-144342,0157832775,11,206.29,0,2025-03-03 19:30:10
18,26107016569697,Medhat,Shehata,Psychiatry,MOH-PSY-597608,0117411912,35,784.27,1,2023-06-29 16:15:26
19,28403114827786,Laila,Mahmoud,Pediatrics,MOH-PED-908409,0155720420,2,574.71,0,2022-11-05 07:37:04
20,25708241859711,Abdullah,El-Aswany,Ophthalmology,MOH-OPH-615711,0126239110,41,501.81,1,2024-09-04 06:40:34
21,25904147312802,Abeer,Mansour,Endocrinology,MOH-END-314443,0152780232,8,543.2,1,2025-10-29 06:09:29
22,28110147039724,Nour,El-Khouly,Ophthalmology,MOH-OPH-113667,0101397925,13,424.67,0,2022-03-12 20:55:37
23,28905270943345,Reem,Saad,Cardiology,MOH-CAR-714043,0129521056,5,201.29,1,2021-04-06 21:12:38
24,28106297227449,Reem,Helmy,Clinical Nutrition,MOH-CLI-921863,0122316989,0,415.17,0,2024-08-26 17:01:00
25,28307133440644,Dina,El-Masry,Internal Medicine,MOH-INT-945020,0117380697,1,764.35,0,2024-04-15 20:55:39
26,27303067106695,Mahmoud,Mohsen,Internal Medicine,MOH-INT-625047,0155486171,15,476.58,1,2023-08-11 04:05:41
27,26611226708566,Hagar,Kamel,Neurology,MOH-NEU-634643,0110802911,10,382.74,0,2024-07-25 20:10:00
28,28906022767882,Ghada,El-Iskandarany,Orthopedics,MOH-ORT-498645,0154915548,2,586.56,1,2025-09-20 04:05:44
29,26407051762798,Samy,El-Sherif,Endocrinology,MOH-END-121014,0101273872,20,650.49,0,2025-02-21 17:00:42
30,28603231516958,Youssef,Salem,ENT (Otolaryngology),MOH-ENT-282290,0154558624,14,165.81,0,2024-06-20 13:56:40
31,25611018457961,Safaa,Saber,Orthopedics,MOH-ORT-345069,0110672186,10,778.18,0,2025-09-28 21:44:03
32,29310131685836,Tarek,Nassar,Internal Medicine,MOH-INT-899132,0121416550,5,613.86,0,2025-11-19 21:19:29
33,27304250920323,Lobna,El-Sherbiny,Endocrinology,MOH-END-273937,0115237719,1,253.27,1,2025-09-07 08:54:37
34,27402283061797,Gamal,Salama,Family Medicine,MOH-FAM-283327,0114975071,14,633.95,0,2021-01-02 23:35:26
35,29303086632889,Reem,El-Omda,Pediatrics,MOH-PED-589760,0105204644,2,380.4,1,2020-12-29 02:26:22
36,29409242629928,Rahma,El-Alawy,Orthopedics,MOH-ORT-831531,0123000105,4,374.31,0,2025-08-05 15:54:14
37,26005136971192,Ashraf,Bakr,Endocrinology,MOH-END-614063,0129508778,20,276.31,1,2023-08-05 01:06:55
38,28408024470963,Heba,Zayed,Orthopedics,MOH-ORT-382702,0157381665,11,453.07,0,2025-03-29 15:04:09
39,27202221929323,Dina,El-Masry,Obesity Management,MOH-OBE-465833,0129260275,0,694.43,0,2021-07-24 20:14:34
40,27003038840351,Yasser,Kamel,General Surgery,MOH-GEN-718260,0128226728,14,577.43,0,2023-09-17 08:11:23
41,29003203057910,Ashraf,Salama,Pediatrics,MOH-PED-686955,0123951299,11,278.18,1,2025-03-13 07:56:01
42,28807078664945,Abeer,Shalaby,Endocrinology,MOH-END-298974,0150152912,13,387.0,0,2021-11-23 14:23:41
43,26703161639975,Marwan,Abdelaziz,Urology,MOH-URO-444578,0104822771,31,220.93,1,2025-06-25 10:39:31
44,29210157440301,Farida,Abo El-Naga,Psychiatry,MOH-PSY-779745,0102525971,1,450.68,1,2022-02-23 00:29:42
45,27111096332126,Hoda,Wahba,Neurology,MOH-NEU-299747,0113230361,17,185.69,1,2022-07-13 00:05:16
46,28305063731895,Islam,Salama,ENT (Otolaryngology),MOH-ENT-189857,0150450731,5,425.8,0,2022-08-05 09:27:31
47,26408153145234,Bilal,Abo El-Naga,Cardiology,MOH-CAR-482052,0103728303,2,419.93,1,2023-01-12 06:52:17
48,27706175321794,Tarek,El-Khouly,Internal Medicine,MOH-INT-772596,0119163997,15,139.55,0,2022-05-23 16:34:38
49,26812317125996,Karim,El-Sherbiny,Obesity Management,MOH-OBE-201898,0117826185,10,695.24,1,2025-03-13 04:50:33
50,29408294113150,Amr,Saber,ENT (Otolaryngology),MOH-ENT-216536,0111709260,4,371.97,0,2023-05-24 19:52:57
51,29507051121120,Yara,El-Qurashi,Cardiology,MOH-CAR-323491,0127713428,3,605.3,0,2022-01-09 08:23:08
52,27303035283045,Rahma,El-Alawy,Immunology,MOH-IMM-307797,0109468893,25,522.89,1,2020-12-29 21:06:40
53,27905228244602,Laila,Abdullah,Clinical Nutrition,MOH-CLI-359754,0106892774,12,597.18,1,2023-09-07 08:37:04
54,27302021762663,Fatma,El-Saeedi,Neurology,MOH-NEU-402625,0129741563,27,746.02,1,2021-12-22 22:21:15
55,27404193375858,Tarek,El-Qahery,Endocrinology,MOH-END-755032,0116583620,14,683.32,0,2022-02-10 06:49:19
56,27506236111479,Amr,El-Khouly,Internal Medicine,MOH-INT-971413,0113385502,1,738.53,0,2022-08-11 16:38:31
57,29108197906173,Karim,Saad,Obstetrics and Gynecology,MOH-OBS-836694,0113236414,5,327.63,0,2023-04-16 11:36:30
58,27105314654545,Habiba,Salem,Immunology,MOH-IMM-735711,0109005390,17,648.86,1,2021-04-10 23:45:50
59,26202041984887,Hoda,Afifi,Family Medicine,MOH-FAM-854644,0158548759,27,765.82,1,2023-03-21 07:40:57
60,29901300787392,Abdelrahman,El-Qurashi,Endocrinology,MOH-END-285402,0104573996,2,547.69,0,2024-05-23 08:10:55
61,27510048450628,Sarah,Abdelaziz,Internal Medicine,MOH-INT-147767,0151372167,19,117.91,1,2023-09-23 01:38:40
62,28009056888876,Samy,Mohsen,Neurology,MOH-NEU-753603,0155072598,13,472.91,0,2025-04-04 07:42:58
63,28712163211383,Mona,Osman,Psychiatry,MOH-PSY-189487,0115779601,9,371.94,1,2024-03-07 20:49:30
